,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
wavelet-HHH_glrlm_RunEntropy,2.828074769,2.584557162,2.844246672,2.845738465,2.770981364,2.661196068,2.622877806,2.814686652,2.55143535,2.932917972,2.814247047,2.874260665,2.692246479,2.858694896,2.750349746,2.717939347,2.709882683,2.788713839,2.866348002,2.682939724,2.839981265,2.763848233,2.759088719,2.742484349,2.765192924,2.70253312,2.669250512,2.575014768,2.870694101,2.774544086,2.732378956,2.721293681,2.714440896,2.859784152,2.430711367,2.745050874,2.860238549,2.696437168,2.705911768,2.853336974,2.797429015,2.819964261,2.852194416,2.84045402,2.84565107,2.501317507,2.79474607,2.479489985,2.741071528,2.640984928,2.878981533,2.617966015,2.699940472,2.620740532,2.823448118,2.48650671,2.745762117,2.806945666,2.925700436,2.766638038,2.803886026,2.696777731,2.415841338,2.84271594,2.806138029,2.751352441,2.800304729,2.82929345,2.854963121,2.853069132,2.614590612,2.896390289,2.70145392,2.925470941,2.799666196,2.809301636,2.873044663,2.560509276,2.851506388,2.799550259,2.869109263,2.684182712,2.71799986,2.752807243,2.80793222,2.662058726,2.902815534,2.863579818,2.755327822,2.573107389,2.828120432,2.735547129,2.606484984,2.845796366,2.847291449,2.796600454,2.774168191,2.848333544,2.853538719,2.611591271,2.885377863,2.849957949,2.84135151,2.033301637,2.80342084,2.7421629,2.801237455,2.729137945,2.782005542,2.50356559,2.802275713,2.843743892,2.767198442,2.85460835,2.87714898,2.710658596,2.494171109,2.891282788,2.877306607,2.786613378,2.726078798,2.817622661,2.611243943,2.821948161,2.790965528,2.767737065,2.89128859,2.819400169,2.726244325,2.477066592,2.801669709,2.832338801,2.897899358,2.831234111,2.79151874,2.830694578
wavelet-HHH_glrlm_RunLengthNonUniformity,6746.953972,500.0582725,7297.856066,6038.933561,3319.09411,1569.972529,1247.145372,10704.05504,289.4531125,28881.45405,2897.839035,12519.32251,1033.193761,6117.233524,4254.042931,400.555655,1334.468727,8538.40569,50274.62317,464.6673193,21851.16589,2769.106861,4216.661841,1457.136457,1876.092469,3622.28979,1618.229733,114.3398565,34146.52771,1041.867277,1287.674667,900.0270082,1038.014394,13308.4292,136.1739107,4471.266074,17802.75077,879.6352029,419.9596929,8186.669217,4593.998606,5992.429362,11134.19554,6029.546735,13913.14155,166.5856798,1658.062733,316.0150972,1842.811458,648.605425,5735.743886,745.7875693,1135.182281,444.1330113,5359.296482,126.9064118,1206.630958,3128.209985,19542.08089,595.3751815,3535.060205,784.3505087,211.2384109,6771.649556,2551.664755,1918.899566,584.0205997,4073.875944,21899.16316,16905.4993,553.6840664,15850.94532,1498.366167,13902.76093,3383.004003,7132.393735,10046.59423,663.4591816,5117.472229,4485.808144,2917.940048,1277.770601,1613.94164,1401.575518,2698.41993,353.3360532,5887.179201,7349.770332,1831.728172,295.7138021,5576.453257,655.2981062,215.9742142,6446.16343,6904.55407,7745.417739,4478.016436,7745.935914,3354.721249,506.6285055,10044.07111,23582.35802,7920.120917,2942.841243,3560.054551,2288.143494,7766.608277,2476.084,5987.916486,121.1624946,7696.43056,4341.574753,1809.044488,7458.744021,59926.0579,2367.161642,102.3000787,8703.446492,29657.24403,1314.366996,1517.097923,3901.345898,1943.45705,19572.86097,10391.17719,472.3515365,17937.98417,8685.049873,966.7532338,131.9236104,4192.968047,30441.87408,23985.7344,12916.6911,5954.616251,8669.112149
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.372404337,0.426457829,0.369696168,0.365783362,0.384936477,0.412962752,0.41966509,0.373383458,0.440669938,0.353258047,0.375447652,0.36246608,0.403283618,0.366609494,0.388944138,0.399214066,0.402136725,0.382624819,0.36265482,0.407356334,0.368418855,0.38891833,0.385923058,0.395967475,0.386590654,0.400801964,0.407767978,0.41603063,0.360647365,0.386299787,0.395479645,0.392909533,0.395480811,0.363770572,0.469257353,0.389930261,0.363202099,0.401666838,0.401864808,0.367460123,0.377980438,0.37354307,0.3667473,0.370052676,0.367918603,0.442345205,0.380027291,0.455001698,0.391018376,0.412230347,0.364720808,0.418220228,0.398860764,0.420874577,0.37365701,0.450567615,0.389723721,0.377434376,0.353380804,0.388120491,0.379871103,0.401401715,0.47276881,0.370045573,0.377156664,0.390982885,0.378957683,0.368999002,0.36765332,0.364613508,0.424501629,0.356157131,0.402772309,0.354235801,0.379165547,0.375711124,0.362173272,0.43876246,0.366728502,0.377077167,0.363722647,0.404255193,0.397798668,0.388335563,0.377486184,0.411341814,0.356220239,0.366628538,0.389951588,0.431206926,0.375223962,0.393279836,0.420418169,0.367339505,0.366813996,0.379630134,0.383802032,0.367466671,0.3690512,0.42631519,0.360365404,0.365831414,0.369225656,0.678059301,0.381320747,0.393606151,0.381173399,0.3967865,0.382684132,0.443713427,0.37817607,0.369194304,0.389425754,0.36553682,0.357538977,0.398487262,0.443933073,0.361550976,0.361185521,0.385580628,0.397766013,0.375606253,0.423372774,0.373056465,0.378107657,0.385128211,0.357986677,0.37450393,0.395550523,0.453713097,0.378711834,0.370950433,0.35627194,0.371597198,0.382134014,0.369288506
wavelet-HHH_glrlm_RunPercentage,0.541229482,0.602815752,0.534988221,0.536463334,0.55542327,0.587731882,0.596001285,0.546411731,0.607991038,0.505710836,0.54527529,0.528979808,0.578283745,0.531901692,0.562037909,0.568306768,0.571771978,0.55380445,0.528236538,0.569906579,0.541168208,0.557815772,0.559580397,0.567006487,0.559005345,0.576357616,0.585287936,0.591184097,0.530359181,0.554322814,0.565734896,0.570589411,0.571701419,0.535388899,0.637062937,0.564776707,0.532420135,0.574561037,0.569840924,0.532244231,0.548863883,0.542556027,0.537924983,0.539638416,0.539184482,0.610989011,0.54526032,0.632002903,0.561245151,0.588580799,0.522561371,0.592413066,0.57347924,0.591144902,0.543409187,0.625464191,0.564472031,0.548289717,0.509505198,0.550295858,0.54437296,0.575187617,0.643609023,0.535972096,0.544199584,0.558300073,0.54025974,0.539791994,0.53050317,0.537397609,0.594497738,0.525444883,0.577341748,0.508179515,0.551138301,0.54579071,0.528127021,0.611546525,0.533161954,0.551807049,0.52608202,0.577347985,0.570685315,0.560838034,0.54499606,0.580836707,0.519581559,0.529101933,0.56386248,0.603916084,0.538397545,0.560149573,0.591025641,0.540056057,0.537875524,0.55229316,0.556992481,0.537138638,0.530595896,0.593298969,0.524187168,0.536185359,0.541391747,0.788893523,0.550264221,0.567911185,0.548527803,0.570647387,0.55248189,0.616832579,0.550031136,0.537319369,0.5537798,0.535653236,0.529110526,0.572270751,0.613066386,0.517499636,0.526750884,0.544914388,0.566822846,0.541835688,0.600864538,0.541168434,0.553190973,0.548538641,0.523456265,0.547943626,0.569119152,0.622222222,0.549195732,0.542620018,0.521317267,0.539941858,0.551941202,0.541250046
wavelet-HHH_glrlm_RunVariance,1.711647016,1.057502222,1.775010482,1.75923239,1.598877526,1.308346221,1.206369661,1.642647885,1.133561428,1.988168821,1.678883147,1.829896881,1.380281916,1.814094697,1.435071114,1.402079901,1.405862333,1.633085265,1.750889289,1.329850226,1.735491972,1.542759143,1.410817029,1.52947374,1.526497228,1.383562309,1.285493743,1.030988753,1.873284678,1.567712941,1.510441422,1.357852291,1.405415367,1.786357277,0.934728732,1.42366532,1.753480235,1.293975072,1.394826332,1.759920815,1.636057845,1.651535587,1.806326773,1.767558713,1.756989449,0.965914638,1.523754016,0.905222456,1.377150003,1.130311817,1.910890914,1.07166018,1.253563185,1.156881258,1.694506635,0.960340472,1.503150001,1.6535091,1.983771722,1.458702837,1.642484024,1.286185923,0.985801217,1.694332756,1.5811242,1.529520689,1.833215287,1.610374154,1.804037117,1.810497751,1.141910963,1.889278251,1.416171731,2.010095239,1.71677736,1.60976533,1.859222983,1.128567863,1.728188854,1.616986478,1.791734059,1.306565922,1.372165987,1.461141277,1.66190432,1.388187408,1.870795775,1.796437548,1.530820449,1.092782272,1.745953701,1.421310541,1.144072597,1.758436613,1.747179974,1.628743596,1.595154089,1.827464043,1.72999265,1.171889596,1.837224858,1.774461294,1.774962127,0.605861323,1.722017332,1.533277284,1.626206606,1.438397283,1.532378328,0.983852806,1.688882907,1.725545549,1.576044224,1.779500852,1.776608299,1.331770351,0.996130546,1.889922003,1.889974077,1.608710015,1.464211323,1.729108068,1.148411468,1.663186574,1.583380288,1.46676158,1.876004588,1.721200647,1.49222891,0.914882058,1.622999571,1.742901275,1.867658646,1.794012102,1.63700056,1.662405133
wavelet-HHH_glrlm_ShortRunEmphasis,0.596598434,0.649770088,0.587967935,0.587126538,0.607427929,0.640502716,0.645050747,0.598278228,0.651189922,0.558638318,0.598382409,0.581793005,0.625355245,0.58497261,0.61218721,0.616182621,0.624653389,0.608018209,0.574654961,0.619910823,0.589998565,0.611094831,0.609857927,0.6216607,0.60983051,0.625863942,0.630538408,0.622980534,0.575239785,0.60823148,0.617861547,0.615731734,0.618839936,0.583571509,0.684118509,0.616852804,0.582523474,0.625285089,0.621244957,0.579917352,0.598893332,0.596641242,0.587142084,0.594261584,0.592591663,0.653140372,0.596340183,0.671618757,0.613591053,0.636016843,0.579581326,0.636296461,0.619774522,0.636411703,0.597399902,0.67124515,0.612064549,0.601952949,0.564320189,0.601629797,0.596981401,0.625446564,0.681883109,0.590419019,0.596299588,0.611882852,0.588549696,0.587100378,0.582513273,0.584101353,0.648662237,0.578223963,0.629122384,0.562997674,0.602571437,0.59779185,0.58216541,0.65976412,0.585061209,0.602057795,0.575425779,0.622813703,0.622504397,0.613808523,0.599127936,0.630790456,0.574981187,0.582945218,0.616211439,0.653011308,0.589825051,0.613342226,0.637108317,0.589181608,0.58490342,0.605136199,0.605640227,0.590550815,0.581884023,0.645972938,0.578950927,0.58688506,0.593876929,0.818923713,0.600324695,0.616943039,0.603693659,0.623639364,0.604077323,0.657170586,0.601180012,0.591104567,0.609627664,0.589318516,0.575119655,0.62065153,0.664751153,0.570704363,0.57953324,0.598080457,0.619335826,0.593009363,0.648079972,0.592880889,0.60213639,0.594493027,0.578460779,0.597435826,0.622109857,0.665360201,0.598972046,0.593550889,0.574070589,0.591764712,0.605588091,0.591920468
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,1.487047473,1.604603901,1.463331463,1.464083162,1.512881017,1.609073809,1.606694252,1.49547787,1.645132354,1.397131109,1.500853218,1.444346831,1.554241534,1.469581544,1.528911348,1.526153481,1.577367628,1.514757547,1.438008719,1.526148376,1.47828101,1.525744183,1.52924052,1.566508545,1.526493624,1.565189999,1.568860673,1.55002102,1.436455192,1.515479253,1.55656357,1.525573704,1.561030956,1.459698156,1.714886356,1.536622722,1.458547784,1.574276423,1.54813013,1.443357982,1.492489791,1.485955269,1.470621294,1.481540436,1.479029355,1.605388819,1.49431063,1.699227203,1.53335604,1.588533418,1.439551463,1.571154465,1.538685232,1.630206298,1.490306409,1.650705529,1.528448601,1.494073807,1.40779623,1.521426271,1.479661033,1.572972052,1.670000248,1.474907332,1.490134038,1.519335748,1.493156388,1.465223005,1.450964413,1.458895608,1.623989939,1.449501242,1.577994077,1.405635406,1.504607758,1.495782929,1.454406403,1.624837752,1.444688281,1.500669055,1.41755039,1.504374587,1.563920631,1.54279891,1.495891822,1.604170644,1.441791224,1.455337497,1.54984986,1.630882245,1.457895513,1.515681398,1.625504326,1.472484714,1.464891365,1.509585356,1.519049174,1.474479808,1.446079897,1.575648792,1.441205251,1.466738436,1.483355081,10.24780175,1.502910722,1.53906065,1.501588522,1.551973653,1.513333891,1.607664962,1.50303275,1.467928624,1.521331029,1.466911959,1.436404191,1.539477985,1.650049586,1.42894148,1.445591109,1.472196027,1.525485071,1.48729028,1.625151923,1.479582221,1.504109562,1.46991839,1.446644989,1.497892488,1.549827526,1.635182092,1.497725168,1.479968574,1.433470006,1.479923166,1.516791406,1.480529992
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.373986174,0.411061635,0.369127054,0.367887382,0.381064657,0.398359943,0.404639871,0.373978318,0.402704314,0.34901512,0.372764706,0.366154549,0.393133673,0.363820376,0.383006176,0.388689906,0.38647483,0.381333374,0.358816522,0.393351435,0.367927954,0.382432493,0.380012279,0.385448739,0.380664732,0.391032428,0.395957842,0.391220413,0.359935933,0.381419537,0.383186042,0.388271242,0.383292181,0.364539847,0.426426548,0.386910325,0.363517397,0.388037256,0.389523664,0.364057195,0.375494218,0.374312736,0.366272282,0.372441871,0.370982241,0.41507826,0.371847571,0.414716646,0.383649806,0.3978877,0.364588792,0.402581961,0.390046844,0.387963054,0.374173275,0.426380056,0.382968536,0.378922735,0.353451179,0.371680679,0.376311493,0.388565192,0.434853825,0.36929694,0.372840976,0.385019628,0.362398024,0.367569721,0.365400487,0.36540279,0.404830312,0.360404644,0.391904461,0.352338241,0.377062357,0.37329408,0.364105162,0.418495712,0.37015444,0.37740498,0.364894626,0.402423482,0.387150338,0.381560926,0.374936964,0.387445409,0.358278678,0.364847148,0.382801833,0.408543574,0.372807435,0.387757433,0.390009315,0.368355831,0.364906434,0.37902391,0.37728799,0.369568567,0.365835055,0.413553975,0.363387346,0.366921716,0.371507391,0.072988273,0.374678188,0.386413636,0.379219943,0.391555792,0.376763181,0.419546992,0.375716828,0.371898552,0.381701823,0.369920155,0.359798521,0.390944917,0.418426545,0.356145084,0.363018772,0.379551564,0.392798514,0.369439133,0.403811985,0.371205556,0.376643096,0.375636686,0.361414726,0.37232166,0.39018044,0.422904728,0.374283766,0.371946468,0.359220735,0.369725098,0.377787262,0.369768087
wavelet-HHH_glszm_GrayLevelNonUniformity,9.133333333,2.6,2,2.6,2,5,4.25,6,1,6,1.666666667,5.545454545,2.6,2.6,4.25,2.5,3,6.166666667,6.538461538,1.666666667,5.545454545,3.571428571,4,1.666666667,1.666666667,6,2.6,1,5.545454545,1.666666667,1,1,1,3.571428571,1,6,3.333333333,2,2.6,4,2.6,8.333333333,2,4.555555556,8,1.666666667,3.333333333,2,4.25,1,1.666666667,2.5,1.666666667,2.6,2.6,1.666666667,1,3.571428571,5.285714286,1.666666667,4,1,3.333333333,3.571428571,1.666666667,2.6,1,1,8.764705882,2.6,2,1.666666667,2,3.4,4.555555556,6.166666667,5.285714286,7.533333333,4.555555556,2.6,2.5,5.909090909,2,1,2.6,1,2.5,6.846153846,2.6,1,4,1,1.666666667,3.333333333,7.5,6.166666667,2.6,1.666666667,3.571428571,2,5.909090909,6.666666667,1,20.34285714,6.538461538,3.333333333,8.5,4.25,3.571428571,1,4,1.666666667,3.333333333,3.333333333,2,2.6,1,1.666666667,5,2.6,2.5,2.6,3.571428571,6,5.2,2.6,4,5.545454545,1.666666667,1,7.461538462,6.538461538,3.333333333,6.166666667,9,4.555555556
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.608888889,0.52,0.5,0.52,0.5,0.555555556,0.53125,0.5,0.5,0.5,0.555555556,0.504132231,0.52,0.52,0.53125,0.625,0.5,0.513888889,0.50295858,0.555555556,0.504132231,0.510204082,0.5,0.555555556,0.555555556,0.5,0.52,0.5,0.504132231,0.555555556,0.5,0.5,0.5,0.510204082,0.5,0.5,0.555555556,0.5,0.52,0.5,0.52,0.555555556,0.5,0.50617284,0.5,0.555555556,0.555555556,0.5,0.53125,0.5,0.555555556,0.625,0.555555556,0.52,0.52,0.555555556,0.5,0.510204082,0.755102041,0.555555556,0.5,0.5,0.555555556,0.510204082,0.555555556,0.52,0.5,0.5,0.515570934,0.52,0.5,0.555555556,0.5,0.68,0.50617284,0.513888889,0.755102041,0.502222222,0.50617284,0.52,0.625,0.537190083,0.5,0.5,0.52,0.5,0.625,0.526627219,0.52,0.5,0.5,0.5,0.555555556,0.555555556,0.625,0.513888889,0.52,0.555555556,0.510204082,0.5,0.537190083,0.555555556,0.5,0.290612245,0.50295858,0.555555556,0.53125,0.53125,0.510204082,0.5,0.5,0.555555556,0.555555556,0.555555556,0.5,0.52,0.5,0.555555556,0.625,0.52,0.625,0.52,0.510204082,0.5,0.52,0.52,0.5,0.504132231,0.555555556,0.5,0.573964497,0.50295858,0.555555556,0.513888889,0.5,0.50617284
wavelet-HHH_glszm_GrayLevelVariance,0.195555556,0.24,0.25,0.24,0.25,0.222222222,0.234375,0.25,0.25,0.25,0.222222222,0.247933884,0.24,0.24,0.234375,0.1875,0.25,0.243055556,0.24852071,0.222222222,0.247933884,0.244897959,0.25,0.222222222,0.222222222,0.25,0.24,0.25,0.247933884,0.222222222,0.25,0.25,0.25,0.244897959,0.25,0.25,0.222222222,0.25,0.24,0.25,0.24,0.222222222,0.25,0.24691358,0.25,0.222222222,0.222222222,0.25,0.234375,0.25,0.222222222,0.1875,0.222222222,0.24,0.24,0.222222222,0.25,0.244897959,0.12244898,0.222222222,0.25,0.25,0.222222222,0.244897959,0.222222222,0.24,0.25,0.25,0.242214533,0.24,0.25,0.222222222,0.25,0.16,0.24691358,0.243055556,0.12244898,0.248888889,0.24691358,0.24,0.1875,0.231404959,0.25,0.25,0.24,0.25,0.1875,0.236686391,0.24,0.25,0.25,0.25,0.222222222,0.222222222,0.1875,0.243055556,0.24,0.222222222,0.244897959,0.25,0.231404959,0.222222222,0.25,1.825306122,0.24852071,0.222222222,0.234375,0.234375,0.244897959,0.25,0.25,0.222222222,0.222222222,0.222222222,0.25,0.24,0.25,0.222222222,0.1875,0.24,0.1875,0.24,0.244897959,0.25,0.24,0.24,0.25,0.247933884,0.222222222,0.25,0.213017751,0.24852071,0.222222222,0.243055556,0.25,0.24691358
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,1.8,2.8,2.5,2.2,2.5,2,2.875,2.5,2.5,2.5,3,2.363636364,2.2,2.2,2.125,3.25,2.5,2.75,2.615384615,2,2.636363636,2.714285714,2.5,3,3,2.5,2.2,2.5,2.363636364,2,2.5,2.5,2.5,2.714285714,2.5,2.5,3,2.5,2.8,2.5,2.8,2,2.5,2.666666667,2.5,3,3,2.5,2.125,2.5,2,3.25,2,2.8,2.8,2,2.5,2.285714286,3.571428571,2,2.5,2.5,3,2.714285714,3,2.8,2.5,2.5,2.764705882,2.8,2.5,2,2.5,1.6,2.333333333,2.75,3.571428571,2.6,2.666666667,2.8,3.25,2.090909091,2.5,2.5,2.8,2.5,1.75,2.846153846,2.8,2.5,2.5,2.5,3,2,3.25,2.75,2.8,2,2.714285714,2.5,2.909090909,2,2.5,13,2.384615385,2,2.875,2.875,2.285714286,2.5,2.5,3,2,2,2.5,2.8,2.5,2,3.25,2.8,1.75,2.2,2.714285714,2.5,2.8,2.2,2.5,2.636363636,3,2.5,3.076923077,2.384615385,3,2.25,2.5,2.333333333
wavelet-HHH_glszm_LargeAreaEmphasis,24256646.2,214500.2,108569061,87378430.6,17249531.25,969488,501783.75,79322593,265225,1014936279,30892566.33,166567082.2,1507455.2,90716787.8,11845940,344392.75,1318101.667,58101425.58,2109379481,622749.6667,459665444.8,5227009,10362061.13,6456555.667,11412089,5058931.5,2067088.6,49548.5,1289732101,3648888.667,7687028.5,3705850,4819469,277308012.6,48404,4235524.5,648815632.7,1079452.5,309810.2,54660497,42687168,10914977,357420216.8,35250074,93680152,58480.33333,2528895.833,136566.5,2489353.25,1664136,141058589.7,1063732.5,3806494,237962,32620804,31393.66667,6774062.5,8121754.857,784228191,1182840.333,8900789.25,2689636,19686.83333,39032898.86,24092127,4574350.4,1815768.5,96041764,309029042.3,667220583.6,287447.75,1093078460,4176075.75,557620790.4,11330564,19562523.25,182490078.4,100556.3333,20094599.44,32187539.8,26505617.75,946003.6364,3453839.75,9626106.5,13658110.4,508412.5,117788230.5,39302623.23,5180714,302536,43683574.88,2074041,117460.6667,79341080.5,35136350.5,27679634.58,25795798,234426947,10073873.14,252211.5,60890496,511179931.5,356269225,180584.1143,5757149.462,4001858.5,17466919.5,2564151,27709992.29,45246.5,45778495.88,74048248,4813234.167,111274075.3,11377333877,5901804.2,33312.5,336487984.3,1164054791,2260235.2,5254286.25,24437586.2,2700749.571,363639720.6,58295578.6,458064.2,398605552.6,50974780.45,2845704.333,50650,5096558.154,800188231.6,1287880027,85111700.75,18692566.17,43049332.67
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,61961414,515673.2,271250182.5,221372314.6,43134750,2472043,1243016.25,198094847.3,663062.5,2538043019,78048256.33,418595302.4,4262925.2,227849147.6,29446631,828019,3279804.167,139832382.8,5281016726,1557838.667,1143485430,13171805.29,26085939.75,16247197.67,28050331,12664519.25,5189171.8,119532.5,3238640419,9161992.667,19080332.5,9178000,11798442.5,694759400.3,122330,10604464,1625105318,2740252.5,762909.8,137818169.8,106852955.4,27635286.4,893570594.3,87376979.33,233206457.3,140285.3333,6137594.333,360244.25,6350624,4137120,353868333.7,2625423,9542519,593573,81792241,78917.66667,16681412.5,20335165,1968855720,2941116.333,22418526.75,6753610,41208.83333,96645376.71,60140147,11801385.8,4553570,241339210,777330671.1,1660577426,729897.5,2722573149,10124377.5,1394948060,28782742.33,49229708.25,453484941.9,256334.3333,50992388.78,80041405.6,67077644,2417547.545,9018121.25,24293300,34519571.6,1329812.5,294413017.5,97647516.54,12853334.6,766240,109947522.4,5275822.5,305817.6667,198352685,87449643.5,68874769.58,63918805,588092583,25461966,635606.25,151515199.9,1285848352,887275562.5,2255291,14487094.54,10072629,43713867.75,6453890.25,69653689.57,107060,114628557,186026976,12181667.17,284030947.8,28435528386,14693684,84650,845892884.3,2924572254,5664100,13461434.25,61296534.8,6620471.143,914856253.3,145301361.1,1124614.4,996678253.3,127313810,7056417.333,123250,12463936.46,2001618946,3210252052,213679776,46153814.67,107367653.7
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,14830454.25,139206.95,67898780.63,53879959.6,10778226.56,593849.25,316475.625,49629529.44,165765.625,634159594.3,19103643.83,103560027.1,818587.7,56433697.85,7445767.25,223486.1875,827676.0417,37668686.27,1316470170,388977.4167,288710448.6,3240809.929,6431091.469,4008895.167,7252528.5,3157534.563,1286567.8,32052.5,802505021.1,2270612.667,4838702.5,2337812.5,3074725.625,172945165.6,29922.5,2643289.625,404743211.4,664252.5,196535.3,33871078.81,26645721.15,6734899.65,223382622.4,22218347.67,58798575.67,38029.08333,1626721.208,80647.0625,1524035.563,1045890,87856153.67,673309.875,2372487.75,149059.25,20327944.75,19512.66667,4297225,5068402.321,488071308.8,743271.3333,5521354.875,1673642.5,14306.33333,24629779.39,15080122,2767591.55,1131318.125,59717402.5,191953635.1,418881372.9,176835.3125,685704787.4,2689000.313,348288973.1,6967519.417,12145727,114741362.6,61611.83333,12370152.11,20224073.35,16362611.19,578117.6591,2062769.375,5959308.125,8442745.1,303062.5,73632033.75,24716399.9,3262558.85,186610,27117588,1273595.625,70371.41667,49588179.38,22058027.25,17380850.83,16265046.25,146010538,6226849.929,156362.8125,38234320.02,317512826.4,223517640.6,15689.91832,3574663.192,2484165.875,10905182.44,1591716.188,17224067.96,29793.125,28565980.59,46053566,2971125.917,68084857.21,7112785250,3703834.25,20478.125,209136759.3,723925425.1,1409269,3202499.25,15222849.05,1720819.179,225835587.4,36544132.98,291426.65,249087377.5,31890023.07,1793026.083,32500,3254713.577,499830553,807287020.3,52969681.94,11827254.04,26969752.42
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.8,0.55,0.625,0.7,0.625,0.75,0.53125,0.625,0.625,0.625,0.5,0.659090909,0.7,0.7,0.71875,0.4375,0.625,0.5625,0.596153846,0.75,0.590909091,0.571428571,0.625,0.5,0.5,0.625,0.7,0.625,0.659090909,0.75,0.625,0.625,0.625,0.571428571,0.625,0.625,0.5,0.625,0.55,0.625,0.55,0.75,0.625,0.583333333,0.625,0.5,0.5,0.625,0.71875,0.625,0.75,0.4375,0.75,0.55,0.55,0.75,0.625,0.678571429,0.357142857,0.75,0.625,0.625,0.5,0.571428571,0.5,0.55,0.625,0.625,0.558823529,0.55,0.625,0.75,0.625,0.85,0.666666667,0.5625,0.357142857,0.6,0.583333333,0.55,0.4375,0.727272727,0.625,0.625,0.55,0.625,0.8125,0.538461538,0.55,0.625,0.625,0.625,0.5,0.75,0.4375,0.5625,0.55,0.75,0.571428571,0.625,0.522727273,0.75,0.625,0.160464286,0.653846154,0.75,0.53125,0.53125,0.678571429,0.625,0.625,0.5,0.75,0.75,0.625,0.55,0.625,0.75,0.4375,0.55,0.8125,0.7,0.571428571,0.625,0.55,0.7,0.625,0.590909091,0.5,0.625,0.480769231,0.653846154,0.5,0.6875,0.625,0.666666667
wavelet-HHH_glszm_SizeZoneNonUniformity,2.333333333,1.4,1,1,1,1,1.25,1.166666667,2,2.666666667,1,1.363636364,1.4,1,1,1,1,2.5,1.615384615,1,1.727272727,1,1.25,1,1,1.333333333,1,1,3.181818182,1,1,1,1,1,1,1,1,1,1.4,1.25,1,1.8,1.5,1.222222222,2.875,1,1,1,1.25,1,1,1,1,1,1,1,1,1.285714286,1.571428571,1,1.25,1,1,1,1,1,1,1,1.941176471,1,1,1,1,1,1.222222222,1.666666667,1.857142857,1.533333333,2.333333333,1,1,1.181818182,1,1,1,1,1,2.076923077,1,1,3.5,1,1,1.666666667,2.166666667,2.166666667,1,1,1.285714286,1,1.909090909,1.5,1,26.68571429,2.076923077,1,2.375,1,1.285714286,1,1,1,1,3,1.5,1,1,1,1.5,1,1,1,1.285714286,2,1.2,1.4,1,1.181818182,1,1,1.923076923,3,1.333333333,1.333333333,4.333333333,1.222222222
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.155555556,0.28,0.25,0.2,0.25,0.111111111,0.15625,0.097222222,1,0.222222222,0.333333333,0.123966942,0.28,0.2,0.125,0.25,0.166666667,0.208333333,0.124260355,0.333333333,0.157024793,0.142857143,0.15625,0.333333333,0.333333333,0.111111111,0.2,0.5,0.289256198,0.333333333,0.5,0.5,0.5,0.142857143,0.5,0.083333333,0.166666667,0.25,0.28,0.15625,0.2,0.12,0.375,0.135802469,0.1796875,0.333333333,0.166666667,0.25,0.15625,0.5,0.333333333,0.25,0.333333333,0.2,0.2,0.333333333,0.5,0.183673469,0.224489796,0.333333333,0.15625,0.5,0.166666667,0.142857143,0.333333333,0.2,0.5,0.5,0.114186851,0.2,0.25,0.333333333,0.25,0.2,0.135802469,0.138888889,0.265306122,0.102222222,0.259259259,0.2,0.25,0.107438017,0.25,0.5,0.2,0.5,0.25,0.159763314,0.2,0.5,0.4375,0.5,0.333333333,0.277777778,0.180555556,0.180555556,0.2,0.333333333,0.183673469,0.25,0.173553719,0.125,0.5,0.38122449,0.159763314,0.166666667,0.1484375,0.125,0.183673469,0.5,0.125,0.333333333,0.166666667,0.5,0.375,0.2,0.5,0.333333333,0.1875,0.2,0.25,0.2,0.183673469,0.166666667,0.12,0.28,0.125,0.107438017,0.333333333,0.5,0.147928994,0.230769231,0.222222222,0.111111111,0.240740741,0.135802469
